ts_code,trade_date,buy_elg_amount,circ_mv,fac_1
601336.SH,20240111,1525.69,6097824.6302,0.0002502023414126883
603338.SH,20240111,199.21,2646680.3635,7.526787244401605e-05
603368.SH,20240111,984.18,673636.4038,0.0014609958643093154
603636.SH,20240111,113.25,702453.5642,0.00016122062122209672
603668.SH,20240111,508.25,752768.9686,0.000675173952700579
603733.SH,20240111,0.0,1080848.5686,0.0
603927.SH,20240111,25.65,1628838.4,1.5747418528443338e-05
603988.SH,20240111,0.0,259896.0,0.0
688128.SH,20240111,0.0,773808.5,0.0
688296.SH,20240111,0.0,97440.9242,0.0
688737.SH,20240111,72.43,234713.7188,0.00030858869421994774
002004.SZ,20240112,0.0,871489.3914,0.0
002098.SZ,20240112,0.0,242366.0,0.0
002194.SZ,20240112,84.36,466957.4168,0.00018065887159070818
002210.SZ,20240112,181.43,489665.064,0.00037051857144539927
002272.SZ,20240112,0.0,218284.2997,0.0
002300.SZ,20240112,1566.95,617544.3401,0.002537388650904421
002385.SZ,20240112,380.04,1842440.5935,0.00020626987993032408
002444.SZ,20240112,2948.29,2537314.42,0.0011619726655713407
002595.SZ,20240112,255.17,1525479.7444,0.00016727196866213597
002698.SZ,20240112,975.3,1157812.5717,0.0008423643203044346
002747.SZ,20240112,326.88,1307599.4046,0.0002499848186302853
002937.SZ,20240112,2.18,692995.6695,3.145762803356162e-06
002979.SZ,20240112,0.0,392335.7003,0.0
003001.SZ,20240112,0.0,90405.8813,0.0
003012.SZ,20240112,169.6,974177.0276,0.00017409566761990845
300063.SZ,20240112,1396.88,355141.5882,0.003933304480277706
300148.SZ,20240112,208.97,280622.7909,0.0007446651048184696
300154.SZ,20240112,0.0,228391.3418,0.0
300223.SZ,20240112,809.37,2350550.6905,0.00034433207642411404
300296.SZ,20240112,215.4,1125517.2419,0.00019137867638205214
300425.SZ,20240112,0.0,323388.3337,0.0
300534.SZ,20240112,852.02,292773.5069,0.002910167689083346
300690.SZ,20240112,104.07,194632.4669,0.0005347001024935372
300757.SZ,20240112,461.92,728728.0,0.000633871622882612
300814.SZ,20240112,0.0,154826.208,0.0
301267.SZ,20240112,56.95,1010819.9618,5.634039903464835e-05
301277.SZ,20240112,0.0,100330.2,0.0
301315.SZ,20240112,133.41,112024.0,0.0011909055202456616
301383.SZ,20240112,240.86,159306.92,0.0015119242779911882
600561.SH,20240112,1994.7,194866.608,0.010236232982512838
600592.SH,20240112,954.88,430718.7495,0.0022169455151615125
600601.SH,20240112,596.07,1138490.0674,0.0005235618799567228
600629.SH,20240112,0.0,477997.4307,0.0
600817.SH,20240112,0.0,495329.3904,0.0
600959.SH,20240112,310.02,1505216.0235,0.0002059637920138046
601188.SH,20240112,402.18,589513.5998,0.0006822234468152129
601336.SH,20240112,1817.73,5962271.0731,0.0003048720827540128
603338.SH,20240112,0.0,2642123.2326,0.0
603368.SH,20240112,0.0,670754.5368,0.0
603636.SH,20240112,0.0,682366.5826,0.0
603668.SH,20240112,494.5,768469.8277,0.000643486552334812
603733.SH,20240112,224.87,1085084.4219,0.0002072373314568917
603927.SH,20240112,400.65,1596784.0,0.00025091058026633533
603988.SH,20240112,37.67,257779.2,0.00014613281443964446
688128.SH,20240112,0.0,766527.5,0.0
688296.SH,20240112,0.0,96420.286,0.0
688737.SH,20240112,0.0,234073.3964,0.0
002004.SZ,20240115,0.0,869607.1248,0.0
002098.SZ,20240115,0.0,243440.0,0.0
002194.SZ,20240115,292.49,466957.4168,0.0006263740321427957
002210.SZ,20240115,0.0,484342.6177,0.0
002272.SZ,20240115,0.0,217613.6875,0.0
002300.SZ,20240115,677.04,625489.355,0.0010824165025158582
002385.SZ,20240115,482.38,1809362.6654,0.00026660216286344073
002444.SZ,20240115,529.73,2530407.0304,0.00020934576676237803
002595.SZ,20240115,590.37,1533480.5123,0.0003849869595763757
